10 373079.125980407 34259.7883696835 214237.745503113 19019.8207666769 179392.698063757 17260.4754884882
25 392304.009655035 35933.1497137053 226426.285956941 19732.9309161311 188693.873218606 18743.5765163985
50 406448.636677367 38275.8093687712 235056.215579521 20940.5881139812 195661.249123969 21314.5144544322
100 425871.505656135 41792.2109131297 248387.045954909 23692.2154817121 204540.194706314 24473.5299203307
150 441879.822759078 43563.205740749 255114.71666035 25071.5666878981 212716.202843865 27796.8955151844
200 444493.067451869 47180.100033044 259326.579130158 27922.5496557193 215701.988951477 30606.4586217569
250 461556.37793695 48467.9906018698 274238.180783748 28658.7110244384 220933.132228245 31780.4599129315
300 471457.389195428 45967.8438248418 280875.16551315 26616.0516241901 223473.171395389 31780.5281632905
350 482032.156968417 44627.4446020611 289649.860796034 25709.0515101526 225776.174628195 32287.431340866
400 491809.930748303 40714.2216145188 298488.49075064 22281.8585746209 227208.027343566 31617.3835054761
450 503421.333956892 41184.4457038462 310389.485995791 22135.0311578345 228958.218886858 32730.2883485311
500 517720.981736862 40530.0595225857 325238.550481235 19600.1951816944 231083.145153959 33319.9301255872
