100 42934.0546946319 4682.80534362532 26903.4366753161 2643.54148121998 24833.3550908119 2972.80606152929
150 45125.91868712 5018.70759568085 28954.4434585493 2968.04893730501 25997.05517145 3290.30775767883
200 47696.769288267 5915.59853501901 30659.477648109 3552.16032881645 27441.7331027393 4218.93887341799
250 48665.7919903095 5777.62149455988 32523.5275273104 3612.30516182467 28128.0333540724 4297.62906598641
300 50134.4811228374 5075.23977927652 33333.1606850691 3120.2350190934 28793.8849920746 3892.97820297415
350 51465.8359101694 4926.63988184134 34474.1721723063 3077.88885636255 29277.5092646994 3968.25031256869
400 52497.7951107234 4852.04442335177 35632.2588863637 3056.97659266716 29739.6174936224 4111.38618203533
450 54024.9431559421 4789.15342346774 36921.1445446718 2974.77975236806 30309.0508234074 4212.95691959903
500 55415.4641839282 4677.45716165813 38199.781178177 2827.89497214308 30728.5737013916 4267.07482352719
550 56706.7745148364 4672.23881345118 39448.6756402999 2640.73194378009 31066.6988181292 4372.0555022848
600 58600.6026487913 4970.03542337539 41581.5817767751 2964.32141859973 31610.3935861266 4664.64310029855
650 60624.4557734026 5033.897558557 41889.365205365 6221.21592506751 32161.1497887286 4833.20122086916
700 63808.932864218 5118.43284435937 44682.0480467936 4159.33945991632 32820.8343398495 4998.5591487955
750 66059.7166731046 3525.95227425644 46375.9809680505 2432.46818947747 33340.648134057 4862.84035545365
800 68640.2886788583 3207.87888313879 49253.4061189652 2011.57464410618 34336.4803815539 4939.94062270713
850 72866.607397695 2134.16137568584 52732.1778440609 1581.22792421833 35132.6841088439 4931.50803395203
900 74432.3725663141 1533.9896988503 56477.3721046852 1694.77338779216 35100.9296855798 4727.45409640259
950 77559.4878171479 1322.74997678149 61404.1485451109 2338.39033114825 35670.4546633702 4627.71000379157
1000 83675.9643876988 2284.53730198271 67774.3939018317 3699.39712012179 36811.4936273206 5555.38688073905
